@relation miRNA-weka.filters.supervised.instance.SMOTE-C0-K5-P66.6666666667-S1

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute class {real,pseudo}

@data
0.009901,-0.007308,-3.3929,2.1,-38.06,17.12,0.13253,17.857143,5.6,-0.021661,0.916076,0.308992,1.401319,2.81523,1.644811,0.32715,0.271021,0.020743,0.589657,2.960772,real
0.009901,-0.011251,-8.7186,2.284,-77.9,25.166667,0.144578,13.793103,9.666667,-0.0322,0.942963,0.329471,1.88137,3.130687,2.321522,0.272257,0.627744,0.012123,0.460774,2.313387,real
0.009901,-0.00977,-6.5325,2.7043,-72.266667,27.666667,0.153846,6.896552,9.666667,-0.026276,0.943896,0.350941,1.79112,3.681342,2.531319,0.251539,0.322943,0.012583,0.551493,2.033396,real
0.009901,-0.010108,-5.2809,2.6471,-58.333333,28.066667,0.13253,9.677419,10.333333,-0.027066,0.98962,0.369623,1.740351,3.911543,2.609552,0.273797,0.366985,0.016835,0.322869,4.023274,real
0.009901,-0.009587,-7.235,2.7109,-63.2,18.225,0.158416,23.684211,9.5,-0.025484,0.8819,0.331771,1.611199,3.561793,3.360003,0.257823,0.617749,0.003876,0.459403,6.477343,real
0.009901,-0.010195,-7.0786,2.7616,-137.7,26.233333,0.162791,3.225806,10.333333,-0.028286,0.999036,0.360153,1.968731,3.580775,6.379949,0.265558,0.533178,0.021025,0.711278,3.19144,real
0.009901,-0.018983,-18.2533,7.2257,-82.775,25.85,0.280702,7.291667,24,-0.045087,0.998717,0.42056,2.935155,6.329004,4.510631,0.154289,0.677947,0.011361,0.782655,27.215226,real
0.009901,-0.01187,-10.2162,3.1118,-32.133333,9.483333,0.178571,7.317073,6.333333,-0.034985,0.924954,0.313837,2.00004,2.877891,2.379481,0.290837,0.465639,0.009872,0.522024,7.488549,real
0.009901,-0.009366,-5.5518,1.4265,-99.6,38.15,0.152941,10.344828,14.5,-0.027449,0.894691,0.305269,1.653309,2.817038,2.60932,0.322963,0.540171,0.016018,0.610775,3.299203,real
0.009901,-0.012336,-6.6144,2.5753,-58.833333,25.633333,0.241935,12.5,8,-0.031864,0.936667,0.362584,2.197168,4.148214,3.246734,0.248762,0.542729,0.000988,0.515164,7.215788,real
